幼学琼林全鉴（珍藏版）, 著
毛泽东思想和中国特色社会主义理论体系概论教学辅导,暂缺作者
马克思主义基本原理教学辅导,None
大学生入党培训教程,，
公文与申论写作教程（修订版）, 编
公安学基础理论, 著
放射医学模拟试卷及解析（中级）,，
医学临床三基训练技能图解：医师分册（全新彩版）, 著
丁震2020护理学单科一次过专业实践能力考点背诵及强化1000题（中级 第4科）, 著
丁震2020护理学单科一次过专业知识考点背诵及强化1000题（中级 第3科）, 著
丁震2020护理学单科一次过共用基础知识考点背诵及强化1000题（中级 第1科）, 著
2020全国中医药专业技术资格考试全科医学专业押题秘卷（中医类 中级）,全国中医药专业技术资格考试命题专家组 著…
2020全国中医药专业技术资格考试中药专业押题秘卷（初级士）,全国中医药专业技术资格考试命题专家组 著…
2020全国中医药专业技术资格考试中药专业押题秘卷（中级）,全国中医药专业技术资格考试命题专家组 著…
2020全国中医药专业技术资格考试中西医结合内科专业押题秘卷（中级）,全国中医药专业技术资格考试命题专家组 著…
2020全国中医药专业技术资格考试中药专业押题秘卷（初级师）,全国中医药专业技术资格考试命题专家组 著…
2020全国中医药专业技术资格考试中药专业考前冲刺·2020全国中医药专业技术资格考试（初级师）,全国中医药专业技术资格考试命题专家组 著…
公路工程管理与实务复习题集,全国二级建造师执业资格考试辅导编写委员会…
建设工程施工管理复习题集,全国二级建造师执业资格考试辅导编写委员会…
建设工程法规及相关知识复习题集,全国二级建造师执业资格考试辅导编写委员会…
建设工程法律法规选编,全国二级建造师执业资格考试辅导编写委员会…
